nome,historico,campus,sigla
TGA - FIC - Eletrodinâmica na Prática,Formação Inicial e Continuada em Eletrodinâmica na Prática,Campus Tangara da Serra,TGA
TGA - FIC em Confeitaria em Alimentos Saudáveis,Formação Inicial e Continuada em Confeitaria em Alimentos Saudáveis,Campus Tangara da Serra,TGA
TGA - FIC - Espanhol Básico,Formação Inicial e Continuada em Educação em Espanhol Básico,Campus Tangara da Serra,TGA
TGA - FIC - Fotógrafo,Formação Inicial e Continuada em Fotógrafo,Campus Tangara da Serra,TGA
TGA - FIC - Gestão de Negócios,Formação Inicial em Gestão de Negócios,Campus Tangara da Serra,TGA
TGA - FIC - Inglês Básico,Formação Inicial e Continuada em Educação em Inglês Básico,Campus Tangara da Serra,TGA
TGA - FIC - Introdução à Interpretação em Língua Brasileira de Sinais (libras),Formação Inicial e Continuada em Introdução à Interpretação em Língua Brasileira de Sinais (libras),Campus Tangara da Serra,TGA
TGA - FIC - Práticas de Atendimento,Formação Inicial e Continuada em Práticas de Atendimento,Campus Tangara da Serra,TGA
TGA - FIC - Programador Web,Formação Inicial e Continuada em Programador Web,Campus Tangara da Serra,TGA
TGA - FIC - Programador Web,Formação Inicial e Continuada em Programador Web,Campus Tangara da Serra,TGA
TGA - FIC - Recepcionista,Formação Inicial e Continuada em Recepcionista,Campus Tangara da Serra,TGA
TGA - FIC - Rotinas Administrativas,Formação Inicial e Continuada em Educação em Rotinas Administrativas,Campus Tangara da Serra,TGA
TGA - FIC - Vendedor,Formação Inicial e Continuada em Vendedor,Campus Tangara da Serra,TGA
TGA - Técnico em Administração - Integrado,Técnico em Administração Integrado Ao Ensino Médio,Campus Tangara da Serra,TGA
TGA - Técnico em Alimentação Escolar - 2015,Técnico em Alimentação Escolar Subsequente ao Ensino Médio,Campus Tangara da Serra,TGA
TGA - Técnico em Comércio - Integrado,Técnico em Comércio  Integrado Ao Ensino Médio,Campus Tangara da Serra,TGA
TGA - Técnico em Infraestrutura Escolar - 2015,Técnico em Infraestrutura Escolar Subsequente ao Ensino Médio,Campus Tangara da Serra,TGA
TGA - Técnico em Infraestrutura Escolar - 2017,Técnico em Infraestrutura Escolar Subsequente ao Ensino Médio,Campus Tangara da Serra,TGA
TGA - Técnico em Manutenção e Suporte em Informática,Técnico em Manutenção e Suporte em Informática  Integrado Ao Ensino Médio,Campus Tangara da Serra,TGA
TGA - Técnico em Multimeios Didáticos - 2015,Técnico em Multimeios Didáticos Subsequente ao Ensino Médio,Campus Tangara da Serra,TGA
TGA - Técnico em Recursos Humanos - Integrado,Técnico em Recursos Humanos  Integrado Ao Ensino Médio,Campus Tangara da Serra,TGA
TGA - Técnico em Recursos Humanos - Subsequente,Técnico em Recursos Humanos Subsequente ao Ensino Médio,Campus Tangara da Serra,TGA
TGA - Técnico em Secretaria Escolar - 2015,Técnico em Secretaria Escolar Subsequente ao Ensino Médio,Campus Tangara da Serra,TGA
TGA - Tecnologia em Gestão de Recursos Humanos,Curso Superior em Tecnologia em Gestão de Recursos Humanos,Campus Tangara da Serra,TGA
VGD - Especialização em Desenvolvimento Urbano,Pós-graduação Lato Sensu em Nível de Especialização em Desenvolvimento Urbano,Campus Várzea Grande,VGD
VGD - Especialização Lato Sensu em Formação Docente para a Educação Profissional Integrada com a Educação Básica na Modalidade Educação de Jovens e Adultos - Proeja - UAB,Especialização Lato Sensu em Formação Docente para a Educação Profissional Integrada com a Educação Básica na Modalidade Educação de Jovens e Adultos - Proeja,Campus Várzea Grande,VGD
VGD - Especialização Lato Sensu em Gestão Pública - UAB,Especialização Lato Sensu em Gestão Pública,Campus Várzea Grande,VGD
VGD - Especialização Lato Sensu em Libras e Educação Inclusiva - UAB,Especialização Lato Sensu em Libras e Educação Inclusiva,Campus Várzea Grande,VGD
VGD - FIC - Assistente Administrativo,Formação Inicial e Continuada em Assistente Administrativo,Campus Várzea Grande,VGD
VGD - FIC - Ensino da Matemática para o Ensino Fundamental I - Módulo I,Formação Inicial e Continuada em Ensino da Matemática para o Ensino Fundamental I - Módulo I,Campus Várzea Grande,VGD
VGD - FIC - Língua Brasileira de Sinais – Libras Módulo Básico,Formação Inicial e Continuada em Língua Brasileira de Sinais - Libras - Módulo Básico,Campus Várzea Grande,VGD
VGD - FIC - Microempreendedor Individual,Formação Inicial e Continuada em Microempreendedor Individual,Campus Várzea Grande,VGD
VGD - Técnico em Desenho de Construção Civil Integrado Ao Nível Médio,Técnico em Desenho de Construção Civil Integrado Ao Ensino Médio,Campus Várzea Grande,VGD
VGD - Técnico em Edificações Integrado Ao Nível Médio,Técnico em Edificações Integrado Ao Ensino Médio,Campus Várzea Grande,VGD
VGD - Técnico em Logística Integrado Ao Nível Médio,Técnico em Logística Integrado Ao Ensino Médio,Campus Várzea Grande,VGD
VGD - Tecnologia em Gestão Pública,Tecnologia em Gestão Pública,Campus Várzea Grande,VGD
